bootstrap_iteration,jaccard_score
1,0.882270497547302
2,0.9516754850088184
3,0.9003250270855905
4,0.8937896965419901
5,0.9237170596393898
6,0.9400595681310498
7,0.9383358098068351
8,0.9238237490664675
9,0.8732686980609419
10,0.9410293066476054
11,0.9229409685401202
12,0.9177563661390227
13,0.9414104882459313
14,0.9380014587892049
15,0.9265335235378032
16,0.9117750439367311
17,0.9408795962509012
18,0.928194297782471
19,0.9305555555555556
20,0.9937637564196625
21,0.9853658536585366
22,0.9872122762148338
23,0.950419248997448
24,0.9031227821149752
25,0.9770964166974511
26,0.9230769230769231
27,0.9629233511586452
28,0.9735902926481085
29,0.873481057898499
30,0.9524506217995611
31,0.8315860669597566
32,0.9156272927366104
33,0.9136069114470843
34,0.9669211195928753
35,0.8338308457711443
36,0.956746765249538
37,0.9712793733681462
38,0.8944055944055944
39,0.9099491648511256
40,0.8718038528896672
41,0.8741989881956155
42,0.968560606060606
43,0.903954802259887
44,0.9082335872324991
45,0.8841354723707665
46,0.8973693960726195
47,0.9294288832302655
48,0.8928571428571429
49,0.9034556465977912
50,0.9427645788336934
51,0.8144827586206896
52,0.7251153592617007
53,0.972707423580786
54,0.8638105189829328
55,0.8892055575347346
56,0.808525754884547
57,0.7195040214477212
58,0.8801564722617354
59,0.9442287327920932
60,0.9509733237202596
61,0.9765949414873537
62,0.8673116793365584
63,0.9057055005124701
64,0.9535052669814748
65,0.8228882833787466
66,0.966188901139287
67,0.966715976331361
68,0.934375
69,0.8630517900590893
70,0.9525056095736724
71,0.9676204819277109
72,0.8662688662688662
73,0.890625
74,0.9590540063536886
75,0.9441176470588235
76,0.8502398903358465
77,0.9137562366357804
78,0.9349264705882353
79,0.8938547486033519
80,0.9478390461997019
81,0.8694866232827188
82,0.9415441176470588
83,0.8925217391304348
84,0.9468963042698242
85,0.9411764705882353
86,0.8982932776036224
87,0.8705035971223022
88,0.8580332409972299
89,0.8253094910591472
90,0.9213161659513591
91,0.9671101256467111
92,0.948150833937636
93,0.9532010482965182
94,0.9432989690721649
95,0.9055316091954023
96,0.8938730853391685
97,0.795981988223069
98,0.9283604135893648
99,0.9689642728256948
100,0.893631669535284
